Element,Wt%,Sigma
C,7.7,0.97
C,5.28,1.05
C,7.51,1.01
C,8.62,1
C,7,1
C,6.07,0.93
C,4.63,0.98
C,5.23,0.87
C,5.14,0.9
C,4.16,1
Cr,2.49,0.19
Cr,3.66,0.25
Cr,2.64,0.2
Cr,2.51,0.2
Cr,1.4,0.17
Cr,2.47,0.2
Cr,2.44,0.2
Cr,2.31,0.19
Cr,3,0.21
Cr,3.58,0.23
Co,3.82,0.29
Co,4.6,0.35
Co,3.66,0.29
Co,3.6,0.29
Co,3.53,0.29
Co,4.17,0.31
Co,4.38,0.3
Co,3.8,0.28
Co,4.02,0.3
Co,4.14,0.31
Ni,41.73,0.72
Ni,42.5,0.81
Ni,41.94,0.74
Ni,40.72,0.73
Ni,42.91,0.74
Ni,44.13,0.74
Ni,42.12,0.73
Ni,42.83,0.7
Ni,41.79,0.7
Ni,43.61,0.77
Pt,25.55,0.69
Pt,26.3,0.8
Pt,25.82,0.71
Pt,26.99,0.72
Pt,24.82,0.71
Pt,25.57,0.71
Pt,27.37,0.72
Pt,27.55,0.7
Pt,28.42,0.7
Pt,27.21,0.75
Al,17.98,0.38
Al,16.79,0.41
Al,17.67,0.38
Al,16.88,0.37
Al,20.35,0.41
Al,17.59,0.39
Al,19.06,0.4
Al,18.28,0.38
Al,17.64,0.37
Al,16.51,0.38
Si,0.73,0.14
Si,0.86,0.18
Si,0.77,0.14
Si,0.69,0.14
Si,0.79,0.15
