Element,Wt%,Sigma
C,12.82,0.97
C,5.15,0.92
C,5.8,1.04
C,7.11,1.27
C,5.74,0.93
C,4.4,0.94
C,4.25,0.87
C,3.85,0.93
C,5.23,0.91
Al,9.15,0.32
Al,10.39,0.36
Al,9.29,0.35
Al,9.49,0.33
Al,11.28,0.38
Al,11.29,0.36
Al,11.24,0.38
Al,11.85,0.41
Al,11.89,0.4
Al,10.74,0.36
Al,11.32,0.38
Al,10.54,0.38
Cr,6.14,0.28
Cr,6.77,0.3
Cr,6.54,0.31
Cr,5.72,0.28
Cr,6.43,0.3
Cr,6.42,0.3
Cr,6.83,0.3
Cr,6.93,0.32
Cr,6.77,0.31
Cr,6.45,0.29
Cr,6.69,0.3
Cr,6.68,0.31
Co,5.66,0.33
Co,6.11,0.35
Co,5.38,0.37
Co,4.81,0.34
Co,5.89,0.37
Co,5.79,0.36
Co,5.73,0.35
Co,5.84,0.37
Co,6.31,0.37
Co,5.75,0.34
Co,6.03,0.36
Co,6.02,0.37
Ni,31.45,0.84
Ni,33.42,0.94
Ni,38.05,0.98
Ni,31.61,0.87
Ni,34.71,0.91
Ni,37.23,0.87
Ni,35.28,0.94
Ni,37.76,1.03
Ni,36.58,0.98
Ni,35.44,0.96
Ni,35.84,0.95
Ni,34.97,1
Pt,13.63,0.71
Pt,17.67,0.82
Pt,14.26,0.8
Pt,15.56,0.78
Pt,17.91,0.86
Pt,16.67,0.83
Pt,16.74,0.82
Pt,17.54,0.87
Pt,17.13,0.84
Pt,15.07,0.78
Pt,16.78,0.81
Pt,16.66,0.83
Ta,11.57,1.06
Ta,5.55,1.06
Ta,15.16,1.25
Ta,17.64,1.15
Ta,15.9,1.18
Ta,12.69,1.18
Ta,10.26,1.14
Ta,8.12,1.18
Ta,9.71,1.18
Ta,10.15,1.08
Ta,12.01,1.16
Ta,7.88,1.16
W,6.43,1.18
W,8.96,1.21
W,7.09,1.32
W,8.17,1.27
W,8.18,1.32
W,7.22,1.31
W,8.22,1.21
W,6.63,1.28
W,8.04,1.29
O,3.15,0.54
Si,1.82,0.58
Si,2.54,0.48
Si,2.57,0.48
Re,4.16,0.96
Re,3.78,1.02
Re,3.29,0.94
Re,3.97,0.99
Sr,5.53,0.82
Sr,4.91,0.79
Sr,6.46,0.79
S,0.6,0.17
S,0.8,0.2
S,0.88,0.2
S,0.63,0.18
S,0.83,0.19
