Element,Wt%,Sigma
C,15.51,1.59
C,22.57,1.45
C,18.32,1.77
C,15.65,2.18
C,13.48,1.84
C,16.69,1.83
C,14.18,1.77
C,21.99,1.81
O,29.29,1.08
O,25.53,1.01
O,26.65,1.06
O,25.38,1.11
O,26.58,1.07
O,26.46,1.07
O,28.43,1.05
O,23.94,1.01
Zr,55.2,1.32
Zr,50.34,1.22
Zr,50.27,1.38
Zr,53.83,1.65
Zr,55.16,1.49
Zr,53.37,1.46
Zr,53.03,1.39
Zr,48.79,1.4
Y,3.62,0.75
Y,4.39,0.77
Y,3.75,0.79
Y,3.48,0.78
Y,4.37,0.74
Y,3.98,0.72
Si,1.56,0.15
Si,0.76,0.14
Si,1.06,0.15
Rb,1.14,0.27
Rb,1.03,0.28
Os,0,0.63
Hf,0.24,0.57
Ta,0,0.68
